feature,importance_mean,importance_max,importance_std,positive_ratio,negative_ratio,skewness,kurtosis
wavelet-LLL_gldm_DependenceVariance,0.00279950414666387,0.16516622960567473,0.010724620017646444,0.03278688524590164,0.3436065573770492,8.799554639315234,113.63163172326013
log-sigma-3-0-mm-3D_glszm_ZoneEntropy,0.0027947754833114453,0.14480306319892405,0.01160133041842338,0.17770491803278687,0.022295081967213116,-8.377862107445527,85.85834505783279
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,0.0027739924920600688,0.060801630951464174,0.007806134182826416,0.13442622950819672,0.06557377049180328,-1.964300066621771,23.417875766734795
logarithm_ngtdm_Strength,0.0027711156743960314,0.030623494125902654,0.00577368234512096,0.1422950819672131,0.17704918032786884,-0.23567608878856575,4.815142166760391
squareroot_glcm_Idmn,0.0027702644383122573,0.0566332034394145,0.007961861162791675,0.14098360655737704,0.05901639344262295,-3.10328496898662,22.351327564648578
logarithm_gldm_DependenceNonUniformityNormalized,0.0027443865020377787,0.04845841685310006,0.007614486047799409,0.04655737704918033,0.15344262295081967,3.5933101860565366,20.435406888570252
log-sigma-2-0-mm-3D_glrlm_GrayLevelVariance,0.0027344083142573647,0.03898992687463761,0.007347049200492633,0.05311475409836065,0.14688524590163934,3.2496392466354775,14.71050143944327
log-sigma-4-0-mm-3D_glrlm_GrayLevelNonUniformity,0.0027210630416259433,0.03059951851144433,0.006921786004006474,0.11147540983606558,0.08852459016393442,-0.9771907181488381,10.113214120289566
log-sigma-4-0-mm-3D_firstorder_Maximum,0.0027173843446325085,0.027929649353027344,0.006453980655796963,0.05377049180327869,0.14622950819672131,1.413785108901699,7.975605412528418
wavelet-LHL_glcm_Imc1,0.0027143288900923026,0.04900867775082588,0.007450407111646102,0.09245901639344262,0.10754098360655738,1.4038619233160055,15.190338100652081
square_gldm_LargeDependenceHighGrayLevelEmphasis,0.002713419165572186,0.0512998577952385,0.007116442600759277,0.03278688524590164,0.16721311475409836,3.457393608086422,20.150286659270296
exponential_glrlm_RunVariance,0.0027055384285625816,0.026146088242530823,0.006311817119191887,0.13901639344262295,0.06098360655737705,-1.939381559220924,7.401338362854565
log-sigma-4-0-mm-3D_glcm_Imc2,0.002696110486202554,0.04630962744355202,0.007658119047575477,0.043934426229508196,0.1560655737704918,3.2828584676905037,19.51923704118668
lbp-3D-k_firstorder_Entropy,0.0026860922364915036,0.038882548362016676,0.007154332879649934,0.07213114754098361,0.12786885245901639,2.6514276953391813,14.009694665242382
log-sigma-1-0-mm-3D_glcm_Correlation,0.002683251051042895,0.020872852019965648,0.006007611195918797,0.13114754098360656,0.06885245901639345,-1.5653565959102915,4.842965665204192
log-sigma-4-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,0.0026765390371567867,0.020567097794264556,0.006029819212612328,0.10950819672131147,0.09049180327868853,-0.6479757819260966,4.822943241072837
log-sigma-5-0-mm-3D_glcm_JointEntropy,0.0026749428323531183,0.06733850859105588,0.00817169896939893,0.07081967213114754,0.12918032786885245,2.174504762464439,24.048144075173806
squareroot_glcm_InverseVariance,0.002664547516259014,0.03388054043054581,0.006594690944565858,0.1180327868852459,0.08196721311475409,-0.7964563008457188,10.07529220841627
wavelet-LLL_glcm_Imc2,0.0026508529742904838,0.04265758886933327,0.007552171721073817,0.10163934426229508,0.09836065573770492,0.03474609217435801,15.530318784564141
log-sigma-4-0-mm-3D_gldm_SmallDependenceEmphasis,0.002643148921772109,0.05145679410547018,0.007641115163985518,0.15934426229508197,0.04065573770491803,-3.8741950295396013,24.553948058111885
log-sigma-2-0-mm-3D_firstorder_Uniformity,0.0026366033554275628,0.052990710213780406,0.007327019505500057,0.15081967213114755,0.04918032786885246,-2.6135049192200652,22.71604135698904
wavelet-LHL_glcm_Idmn,0.0026330758913771296,0.14858856840059162,0.009622896638922972,0.14426229508196722,0.05573770491803279,4.6411370379170656,84.20959479392572
wavelet-HHH_firstorder_Entropy,0.0026325205415487283,0.02147687878459692,0.005919566383193048,0.11409836065573771,0.0859016393442623,-1.0499024456995862,5.011299362460786
original_glcm_Correlation,0.002616276496490006,0.05080657798796892,0.007938564807891036,0.07868852459016394,0.12131147540983607,0.18771130671471145,21.210979520520564
wavelet-HLL_glcm_DifferenceEntropy,0.0025960282717327593,0.12317145518958568,0.010703753009770299,0.01901639344262295,0.18098360655737705,8.218946638462304,84.177137157541
lbp-3D-k_gldm_DependenceNonUniformityNormalized,0.002585759945641281,0.027827750016003846,0.006343117709046701,0.14098360655737704,0.05901639344262295,-2.0711278802787847,9.298851134026911
